GeneSymbol	Slide1_001	Slide5_005	Slide1_004	Slide8_001	Slide3_009	Slide6_003	Slide5_004	Slide3_008	Slide7_001	Slide8_006	Slide1_008	Slide2_003	Slide7_007	Slide3_010	Slide2_001	Slide5_003	Slide5_006	Slide3_006	Slide1_009	Slide5_001	Slide1_002	Slide1_007	Slide6_004	Slide8_005	Slide7_004	Slide3_001	Slide7_003	Slide7_005	Slide1_003	Slide7_008	Slide2_004	Slide8_002	Slide1_006	Slide8_004	Slide3_005	Slide3_002	Slide6_005	Slide6_006	Slide2_002	Slide4_004
ITK	0.016	0	0.012	0.008	0	0.004	0	0	0.02	0	0.016	0.004	0	0	0.004	0	0	0	0	0	0.016	0	0	0	0.008	0	0.012	0.004	0	0.004	0	0	0	0.004	0	0	0	0.004	0	0
IKBKB	0.344	0.016	0.74	0.004	0.016	0.04	0.012	0.008	0.516	0.016	0.824	0.024	0.02	0.028	0.016	0.016	0.012	0.008	0.108	0	0.528	0.532	0	0.012	0.196	0.016	0.644	0.044	0.056	0.028	0.024	0.008	0.072	0.036	0.012	0.012	0.012	0.012	0.012	0
PAX5	0	0	0.064	0.004	0.004	0.004	0.004	0.008	0.08	0	0.08	0.02	0.008	0.02	0	0.004	0	0.004	0.012	0	0.096	0.084	0.008	0.012	0.052	0.008	0.228	0.004	0.004	0.016	0.004	0.008	0	0.016	0.004	0.008	0	0.004	0.016	0.004
PTK2	0.268	0.008	0.512	0.016	0.028	0.024	0.008	0.008	0.372	0	0.548	0.064	0.012	0.02	0.02	0.008	0.008	0.008	0.076	0.004	0.468	0.288	0.016	0.008	0.156	0.016	0.488	0.044	0.004	0.028	0.004	0.02	0.056	0.012	0.02	0.016	0.004	0.012	0.004	0.004
TEAD1	0.112	0.004	0.304	0.008	0.016	0.004	0.004	0.008	0.276	0.012	0.096	0.028	0.004	0.012	0.012	0.004	0	0.008	0.032	0.008	0.064	0.188	0.004	0.004	0.104	0.012	0.456	0.024	0.02	0.02	0.008	0.036	0.02	0.004	0.008	0.004	0.004	0.008	0.012	0
FLI1	0.292	0	0.264	0.012	0.02	0.02	0.004	0.004	0.252	0.016	0.304	0.04	0.028	0.004	0.016	0.004	0.004	0.008	0.04	0.004	0.384	0.22	0.004	0.004	0.156	0.004	0.636	0.052	0.008	0.032	0.004	0.012	0.04	0.02	0.024	0.016	0.004	0.028	0.012	0.012
CD3E	0.016	0	0.028	0	0	0.004	0	0	0.04	0.004	0.044	0.004	0	0	0	0	0	0	0	0	0.016	0.024	0.004	0	0.016	0.004	0.068	0.004	0.004	0	0	0.004	0	0.004	0.004	0.012	0	0.004	0	0.004
MS4A1	0	0	0.084	0	0.004	0.012	0	0.008	0	0.004	0.032	0.012	0.008	0.004	0	0	0.004	0	0	0.008	0.064	0.02	0.008	0.012	0.028	0	0.212	0	0.008	0.004	0	0.012	0	0.004	0.004	0	0	0	0	0.008
CD3G	0.004	0	0.044	0	0.004	0.004	0	0.004	0.044	0	0.02	0.008	0	0	0.004	0	0	0.004	0	0	0.036	0.02	0	0.004	0.012	0	0.052	0	0	0	0.004	0.004	0.008	0	0	0	0.004	0	0.008	0.004
TCF7L2	0.116	0.008	0.38	0.024	0.028	0.032	0	0.004	0.2	0.044	0.376	0.028	0.024	0.044	0.02	0.004	0.004	0.02	0.032	0.008	0.324	0.172	0.024	0.012	0.1	0.036	0.484	0.036	0.012	0.004	0.012	0.024	0.02	0.024	0.024	0.02	0.008	0.016	0.016	0.012
SMOC2	0.176	0.008	0.48	0	0.012	0.028	0	0.008	0.156	0.024	0.2	0.02	0.008	0.016	0.008	0.02	0.004	0.016	0.024	0.004	0.088	0.104	0	0.004	0.032	0.008	0.252	0.016	0	0.016	0.012	0.004	0.028	0.008	0.008	0.004	0	0.012	0.008	0.004
ETS1	0.032	0	0.072	0.004	0.004	0.016	0.004	0.004	0.144	0.004	0.088	0.004	0.02	0.004	0.012	0.008	0.004	0.004	0.004	0	0.024	0.092	0	0	0.044	0.004	0.28	0.012	0.004	0.008	0	0.004	0.012	0.02	0.008	0	0.008	0.004	0.004	0
CD22	0.216	0.008	0.7	0.016	0.008	0.012	0	0.012	0.228	0.032	0.392	0.032	0.028	0.012	0.012	0.016	0.004	0.012	0.076	0.012	0.268	0.352	0.004	0.028	0.052	0.012	0.532	0.024	0.012	0.02	0.012	0.024	0.016	0.016	0.016	0.02	0.012	0	0.032	0.004
CD19	0.016	0	0.012	0.004	0	0	0	0	0.008	0	0.044	0	0	0	0	0.004	0	0.008	0	0	0.06	0.012	0	0.004	0.012	0	0.052	0.004	0	0.004	0.004	0.02	0	0.016	0	0	0.004	0	0	0
MSH6	0.208	0	0.492	0.008	0.004	0.012	0.004	0.012	0.376	0.02	0.476	0.02	0.016	0.004	0	0.008	0	0.008	0.072	0.008	0.224	0.228	0.008	0	0.152	0	0.512	0.036	0.02	0.032	0.004	0.02	0.048	0.008	0	0.016	0	0.004	0.024	0.008
CD27	0.024	0	0.048	0	0	0	0	0.004	0.04	0.008	0.02	0.004	0	0	0	0.004	0.004	0	0.004	0.008	0.028	0.024	0	0	0.016	0.004	0.12	0	0	0.004	0	0	0	0	0.004	0.004	0	0	0.008	0
ERBB2	0.476	0.024	0.844	0.004	0.028	0.024	0.012	0.024	0.3	0.012	1	0.024	0.008	0.024	0.024	0.028	0.008	0.008	0.148	0.012	0.6	0.716	0.016	0.008	0.112	0.008	0.36	0.028	0.012	0.012	0.004	0.008	0.068	0.008	0.012	0.004	0	0.012	0.028	0.012
CD163	1.356	0.016	3.044	0.02	0.044	0.18	0.012	0.076	2.104	0.012	2.512	0.18	0.096	0.06	0.152	0.044	0.016	0.036	0.452	0.032	2.996	1.516	0.056	0.044	0.324	0.02	2.348	0.28	0.048	0.068	0.048	0.064	0.296	0.056	0.08	0.04	0.016	0.052	0.06	0.012
NLRC5	0.08	0.004	0.188	0.008	0.012	0.012	0	0	0.156	0.008	0.26	0.012	0.012	0.004	0.016	0.004	0.004	0.008	0.016	0	0.124	0.092	0	0.008	0.036	0	0.376	0.036	0.004	0.008	0.004	0.012	0.02	0.004	0.008	0.008	0	0.004	0.004	0.004
MSH2	0.14	0	0.268	0.012	0.016	0.008	0.004	0.02	0.196	0.004	0.216	0.02	0.012	0.004	0.004	0	0	0.004	0.068	0.008	0.232	0.16	0.012	0.008	0.06	0	0.26	0.012	0.008	0.004	0	0.008	0.016	0	0.008	0	0.012	0.012	0.02	0.012
PRTN3	0.084	0.004	0.268	0.004	0.008	0.016	0.008	0.008	0.164	0.02	0.112	0.032	0.008	0.02	0.016	0.02	0	0.024	0.04	0.004	0.076	0.124	0.008	0.008	0.068	0.008	0.256	0.008	0.004	0.024	0.008	0.036	0.032	0.004	0.02	0.012	0.004	0.012	0.012	0
ITGAM	0.628	0.016	1.188	0.032	0.036	0.072	0.004	0.048	1.64	0.04	2.216	0.076	0.084	0.028	0.036	0.028	0.032	0.056	0.188	0.032	2.316	0.624	0.048	0.012	0.412	0.032	2.556	0.108	0.06	0.076	0.004	0.036	0.136	0.032	0.016	0.008	0.032	0.02	0.036	0.012
ROR1	0.068	0.008	0.132	0	0	0.004	0	0	0.088	0.012	0.12	0.008	0	0	0.004	0	0.004	0.024	0	0.004	0.036	0.092	0	0.004	0.02	0.016	0.176	0	0.012	0.016	0.004	0	0.004	0.004	0.008	0.004	0.004	0.004	0	0
ERBB3	0.612	0.012	1.44	0.008	0.024	0.02	0.004	0.004	0.304	0.044	1.212	0.06	0.008	0.016	0.04	0.016	0.02	0.004	0.2	0.008	0.932	0.94	0.028	0.02	0.096	0.012	0.38	0.012	0.044	0.016	0.008	0.016	0.084	0.016	0.012	0.004	0.008	0.004	0.028	0.024
SELPLG	0.22	0.008	0.284	0.008	0.004	0.02	0.008	0.016	0.548	0.012	0.352	0.032	0.032	0.016	0.016	0.008	0.008	0.008	0.068	0.016	0.288	0.196	0.004	0.008	0.12	0.012	0.604	0.024	0.008	0.036	0.028	0.02	0.024	0.016	0.012	0.004	0.008	0.016	0.012	0.004
PGF	0.076	0.004	0.136	0.004	0	0.024	0	0	0.128	0.004	0.1	0.032	0.012	0.004	0.008	0	0.004	0.004	0.008	0	0.128	0.12	0.004	0.004	0.084	0.008	0.268	0.02	0.004	0.004	0	0.016	0.024	0.016	0.008	0.004	0.004	0.012	0.004	0.004
NDUFA4L2	0.032	0	0.164	0	0.004	0.004	0	0	0.076	0.004	0.052	0	0	0.004	0.004	0	0	0	0.012	0.004	0.016	0.036	0	0	0.016	0	0.1	0	0	0.008	0.004	0	0	0.004	0.004	0	0.004	0	0.004	0
IGF1R	0.58	0.02	1.232	0.004	0.04	0.024	0.016	0.016	0.424	0.012	1.428	0.048	0.012	0.024	0.02	0.016	0.008	0.016	0.172	0.024	0.848	0.764	0.008	0.008	0.164	0.024	0.732	0.032	0.072	0.024	0.032	0.032	0.104	0.016	0.012	0.024	0.008	0.012	0.024	0.008
PECAM1	0.6	0.024	1.392	0.008	0.036	0.028	0.016	0.008	0.984	0.02	1.488	0.024	0.032	0.012	0.036	0.032	0.012	0.032	0.168	0.024	1.1	0.564	0.012	0.008	0.308	0.004	1.688	0.08	0.044	0.036	0.016	0.036	0.036	0.028	0.032	0.016	0.02	0.016	0.028	0.016
MAP2K1	0.188	0.004	0.46	0	0.036	0.036	0.012	0.008	0.412	0	0.24	0.02	0.024	0.024	0.004	0.032	0	0.024	0.092	0.044	0.264	0.248	0.008	0.004	0.108	0.012	0.628	0.04	0.02	0	0	0.024	0.024	0.044	0.012	0.012	0.004	0.008	0.016	0.004
MRC1	0.512	0.016	1.124	0.068	0.036	0.208	0.004	0.032	0.776	0.032	0.952	0.156	0.116	0.084	0.068	0.036	0.02	0.068	0.244	0.028	2.772	0.58	0.044	0.084	0.92	0.056	3.972	0.284	0.056	0.168	0.044	0.04	0.048	0.06	0.04	0.056	0.044	0.08	0.064	0.044
MYH11	0.136	0.008	1.056	0.02	0.016	0.012	0.004	0	0.104	0.044	0.084	0.024	0.004	0.008	0.008	0	0	0.008	0.004	0.02	0.12	0.124	0.004	0.008	0.06	0.008	0.648	0.02	0.008	0	0.012	0.036	0.012	0.036	0.016	0	0.008	0.012	0.008	0.004
ICAM2	0.068	0	0.128	0	0	0	0	0	0.24	0.004	0.256	0.004	0.024	0	0.008	0.016	0	0	0.028	0	0.076	0.068	0	0.004	0.084	0.008	0.4	0.04	0.012	0.02	0	0.008	0.02	0.012	0	0	0.008	0.004	0.008	0.004
CD226	0.024	0	0.084	0	0.012	0.012	0.008	0	0.016	0.004	0.104	0.004	0.004	0	0	0.004	0.004	0.004	0	0.004	0.028	0.028	0	0.004	0.028	0	0.12	0.008	0	0.004	0.008	0.008	0.012	0.008	0.008	0	0.012	0	0	0
TNFRSF13B	0.044	0	0.148	0.008	0.004	0.012	0	0.004	0.108	0.004	0.108	0.004	0.016	0.004	0.008	0	0	0	0.012	0.004	0.032	0.1	0.008	0.008	0.044	0	0.24	0.012	0.016	0.016	0	0	0.008	0.004	0.008	0.004	0.004	0.004	0.024	0
CD68	1.572	0.012	5.464	0.008	0.056	0.172	0.008	0.024	6.336	0.024	4.396	0.296	0.192	0.056	0.08	0.056	0.012	0.016	0.564	0.012	3.588	3.016	0.036	0.04	1.024	0.04	7.8	0.364	0.216	0.188	0.052	0.052	0.36	0.02	0.048	0.044	0.028	0.044	0.08	0.02
AURKB	0.172	0.012	0.512	0	0.024	0.004	0.004	0	0.388	0.004	0.456	0.024	0.024	0.008	0.028	0.004	0.008	0.008	0.06	0.012	0.3	0.272	0.012	0.008	0.108	0.004	0.652	0.04	0.032	0.012	0.012	0.004	0.032	0.016	0.012	0.012	0.004	0.004	0.008	0
SMAD2	0.356	0.004	0.904	0.012	0.028	0.024	0.004	0.028	1.148	0.032	0.94	0.044	0.06	0.036	0.024	0.016	0.012	0.012	0.22	0.008	0.716	0.604	0	0.004	0.368	0.008	1.724	0.064	0.044	0.02	0.004	0.036	0.1	0.048	0.004	0.024	0.004	0.004	0.02	0.004
SMARCA4	0.4	0.016	0.844	0.016	0.04	0.032	0.008	0.012	1.188	0.012	0.896	0.012	0.044	0.024	0.016	0.008	0.008	0.008	0.188	0.012	0.58	0.448	0.04	0.02	0.384	0.012	1.356	0.06	0.06	0.052	0.008	0.028	0.076	0.012	0.004	0.028	0.032	0.004	0.004	0.008
STAT5A	0.216	0	0.336	0.016	0.024	0.024	0	0.012	0.412	0.004	0.364	0.044	0.012	0.036	0.008	0.016	0.004	0.012	0.088	0.008	0.356	0.216	0.004	0.008	0.156	0.008	0.716	0.032	0.02	0.024	0.012	0.016	0.028	0.024	0.028	0.008	0.008	0.004	0.024	0.016
CCR10	0.104	0	0.256	0.016	0.012	0.016	0.008	0.016	0.076	0.004	0.092	0.032	0	0.004	0.008	0.008	0	0.02	0.012	0.016	0.164	0.052	0.004	0.004	0.048	0.012	0.24	0.004	0.016	0.004	0.008	0.008	0.02	0.016	0.02	0.016	0.016	0.008	0.016	0.008
DNMT1	0.192	0	0.672	0.012	0.008	0.008	0	0.004	0.696	0.012	0.456	0.032	0.04	0	0.004	0.012	0.008	0.012	0.092	0.008	0.352	0.304	0.012	0	0.176	0	1	0.048	0.016	0.024	0.028	0.016	0.096	0.016	0.02	0.012	0.008	0.008	0.024	0.012
IRF3	0.228	0	0.672	0.004	0.048	0.04	0.004	0.012	0.512	0.028	0.536	0.04	0.016	0.012	0	0.012	0.008	0.004	0.104	0.028	0.62	0.328	0.012	0.012	0.12	0.008	0.784	0.04	0.028	0.04	0.024	0.02	0.044	0.004	0.004	0.012	0.012	0.012	0.004	0.004
CCL5	0.076	0.004	0.068	0.008	0	0.008	0	0.012	0.276	0.008	0.132	0.008	0.008	0	0	0.004	0	0.004	0.012	0.008	0.016	0.104	0.004	0.004	0.056	0.004	0.28	0.028	0	0.016	0.008	0.012	0	0.004	0.008	0.008	0.004	0.008	0.004	0
TRAC	0.028	0	0.024	0	0	0.004	0	0.004	0.092	0	0.028	0	0.016	0	0	0	0	0	0.004	0	0.012	0.016	0.004	0.004	0.032	0	0.116	0.008	0	0.008	0	0	0.008	0.004	0	0	0.004	0	0	0
CCL3	0.512	0.044	2.816	0.048	0.156	0.128	0	0.12	3.112	0.06	2.532	0.22	0.152	0.132	0.08	0.024	0.012	0.124	0.108	0.032	1.704	1.244	0.064	0.064	1.136	0.092	3.944	0.248	0.1	0.188	0.044	0.172	0.224	0.088	0.092	0.068	0.064	0.076	0.048	0.024
CDH5	0.064	0	0.16	0.008	0.004	0.008	0	0.004	0.092	0.008	0.072	0.012	0	0.004	0.004	0.004	0	0.024	0.012	0	0.148	0.036	0	0	0.036	0.016	0.256	0.012	0.004	0.008	0.008	0.004	0.012	0.004	0.004	0.008	0	0.012	0.004	0
RET	0.008	0.004	0.068	0.004	0.016	0.004	0.008	0.004	0.148	0.004	0.048	0	0.008	0.008	0	0.008	0.008	0.012	0.004	0.008	0.052	0.084	0.008	0.004	0.028	0.024	0.172	0.004	0	0.008	0.008	0.008	0.004	0.008	0.008	0.004	0	0.004	0.004	0
FLT1	0.08	0.008	0.168	0.012	0.028	0.016	0.008	0.004	0.148	0.008	0.188	0.012	0.004	0	0	0.02	0.008	0.004	0.036	0.016	0.076	0.184	0.016	0	0.036	0	0.18	0.012	0.012	0.016	0.012	0.02	0.02	0.016	0.012	0	0.004	0.004	0.004	0
EPHB4	0.124	0	0.368	0.02	0.008	0.02	0.004	0.012	0.44	0.012	0.196	0.008	0.02	0.012	0.016	0.008	0.008	0.02	0.068	0.008	0.204	0.14	0.012	0.004	0.116	0	0.564	0.028	0.012	0.036	0.004	0.008	0.024	0.024	0.016	0.008	0.008	0.008	0.012	0.016
CCL17	0	0.004	0	0.008	0.004	0.004	0	0	0.092	0.004	0.036	0.008	0	0	0.004	0	0	0	0.008	0.004	0.016	0.024	0	0.012	0.084	0.004	0.396	0.036	0	0.024	0	0.008	0.012	0.004	0	0	0	0.004	0.004	0.004
CIITA	0.464	0.024	0.948	0.004	0.028	0.064	0.004	0.016	0.764	0.02	0.376	0.024	0.06	0.008	0.028	0.056	0.028	0.012	0.076	0.08	0.52	0.496	0.012	0.028	0.324	0.012	1.616	0.068	0.012	0.076	0.032	0.04	0.028	0.012	0.024	0.028	0.024	0.028	0.04	0.004
CLDN5	0.068	0	0.164	0	0.004	0.008	0	0.004	0.144	0.004	0.024	0.02	0.004	0.004	0	0	0	0.016	0.008	0.016	0.14	0.056	0.008	0.008	0.048	0.008	0.212	0.028	0.008	0.016	0	0.012	0.008	0.008	0.008	0.004	0.004	0.012	0.004	0.004
CD177	0.152	0	0.208	0.016	0.016	0.052	0.012	0.016	0.308	0	0.332	0.04	0.004	0.016	0.02	0	0.008	0.016	0.028	0.008	0.148	0.224	0.012	0.004	0.064	0.004	0.372	0.02	0.02	0.036	0.008	0.028	0.024	0.016	0.016	0.012	0	0.024	0.02	0.016
VEGFC	0.128	0	0.292	0.008	0.016	0.016	0.004	0.012	0.112	0	0.06	0.028	0.008	0.02	0.016	0.004	0.004	0.008	0.036	0	0.14	0.116	0.016	0.004	0.028	0.008	0.344	0.008	0.004	0.008	0	0.008	0.016	0.008	0	0.008	0.004	0.004	0.004	0
AXIN2	0.032	0.004	0.168	0.008	0.008	0.004	0.004	0	0.064	0.004	0.124	0.016	0.004	0.012	0	0.004	0	0	0.016	0.004	0.14	0.104	0.004	0	0.036	0.004	0.156	0.016	0.004	0.012	0	0.016	0.012	0	0.004	0	0.004	0.004	0.004	0
PDPN	0.208	0	0.32	0.004	0.036	0.016	0.004	0.016	0.62	0.016	0.464	0.024	0.004	0.016	0.008	0.008	0.004	0.008	0.036	0.004	0.384	0.324	0.004	0.012	0.224	0.008	0.756	0.028	0.036	0.024	0.016	0.012	0.044	0.008	0.012	0.008	0.008	0.012	0.028	0.004
TRBC1	0.108	0.004	0.152	0.004	0.016	0.016	0.004	0.004	0.22	0.004	0.092	0.004	0.02	0.004	0.016	0.004	0.004	0.004	0.012	0.004	0.04	0.088	0.008	0.012	0.12	0.008	0.436	0.044	0	0.028	0.008	0.008	0.008	0.004	0.004	0	0.008	0.004	0	0
SERPINA1	2.724	0.048	6.96	0.04	0.26	0.084	0.032	0.084	6.54	0.12	9.656	0.208	0.304	0.18	0.132	0.052	0.032	0.136	1.344	0.1	6.98	4.22	0.06	0.12	2.476	0.124	9.488	0.428	0.416	0.356	0.128	0.464	0.572	0.136	0.104	0.104	0.056	0.088	0.152	0.036
FGFR2	0.072	0.004	0.412	0	0.004	0.012	0.008	0.008	0.128	0.004	0.224	0.004	0.008	0	0	0.004	0	0.004	0.02	0.012	0.252	0.236	0.004	0.008	0.028	0.004	0.096	0.008	0.012	0.004	0	0.004	0.028	0.02	0.008	0.012	0.004	0	0.012	0
ATM	0.092	0.004	0.272	0.012	0.004	0.024	0.004	0.004	0.168	0.008	0.268	0.004	0.012	0	0.012	0.008	0.004	0.016	0.024	0.004	0.136	0.108	0.028	0.008	0.048	0.008	0.28	0.016	0.008	0.032	0.004	0.012	0.024	0.012	0.004	0	0.004	0.012	0.012	0.012
PRF1	0.036	0.004	0.08	0	0	0.012	0	0	0.068	0.004	0.104	0.004	0.004	0.016	0	0	0	0	0.012	0	0.032	0.06	0.004	0.012	0.016	0.004	0.144	0.012	0.012	0.008	0.008	0	0.008	0.004	0.012	0.004	0.004	0	0.004	0.004
IL10	0.228	0.008	0.24	0.012	0.024	0.052	0	0.004	0.228	0.024	0.376	0.04	0.02	0.036	0.02	0.008	0.004	0.016	0.028	0.012	0.08	0.16	0.004	0.012	0.06	0.04	0.4	0.02	0.036	0.02	0.012	0.008	0.048	0.032	0.012	0.008	0.012	0.012	0.032	0.016
NOTCH1	0.256	0.004	0.412	0.004	0.008	0.044	0	0.024	0.584	0.024	0.48	0.044	0.028	0.028	0.012	0.004	0.004	0.004	0.088	0	0.396	0.2	0.004	0.004	0.172	0.008	0.688	0.024	0.028	0.024	0	0.016	0.056	0.016	0.012	0.02	0.004	0.004	0.008	0.004
